name,html_url,description,language,stargazers_count,topics
llama-index-python,https://github.com/Azure-Samples/llama-index-python,This sample shows how to quickly get started with LlamaIndex.ai on Azure🚀,Python,14,
graphrag-accelerator,https://github.com/Azure-Samples/graphrag-accelerator,One-click deploy of a Knowledge Graph powered RAG (GraphRAG) in Azure,Python,1172,
gpt-video-analysis-in-a-box,https://github.com/Azure-Samples/gpt-video-analysis-in-a-box,,Bicep,8,
openai-chat-app-entra-auth-builtin,https://github.com/Azure-Samples/openai-chat-app-entra-auth-builtin,A simple chat application that integrates Microsoft Entra ID for user authentication. Designed for deployment on Azure Container Apps with the Azure Developer CLI.,Python,16,
azure-functions-openai-extension,https://github.com/Azure/azure-functions-openai-extension,"An extension that adds support for Azure OpenAI/ OpenAI bindings in Azure Functions for LLM (GPT-3.5-Turbo, GPT-4, etc)",C#,65,
enterprise-azureai,https://github.com/Azure/enterprise-azureai,Unleash the power of Azure AI to your application developers in a secure & manageable way with Azure API Management and Azure Developer CLI.,TypeScript,75,
agent-openai-python-prompty,https://github.com/Azure-Samples/agent-openai-python-prompty,A creative writing multi-agent solution to help users write articles.,Python,30,
container-apps-dynamic-sessions-samples,https://github.com/Azure-Samples/container-apps-dynamic-sessions-samples,Samples for Azure Container Apps dynamic sessions,Python,6,
AI-Gateway,https://github.com/Azure-Samples/AI-Gateway,APIM ❤️ OpenAI - this repo contains a set of experiments on using GenAI capabilities of Azure API Management with Azure OpenAI and other services,Jupyter Notebook,151,
ai-hub-gateway-solution-accelerator,https://github.com/Azure-Samples/ai-hub-gateway-solution-accelerator,Reference architecture that provides a set of guidelines and best practices for implementing a central AI API gateway to empower various line-of-business units in an organization to leverage Azure AI services,Bicep,53,
rag-postgres-openai-python,https://github.com/Azure-Samples/rag-postgres-openai-python,A RAG app to ask questions about rows in a database table. Deployable on Azure Container Apps with PostgreSQL Flexible Server.,Python,114,
contoso-chat-csharp-prompty,https://github.com/Azure-Samples/contoso-chat-csharp-prompty,,Bicep,12,
summarization-openai-csharp-prompty,https://github.com/Azure-Samples/summarization-openai-csharp-prompty,This solution converts speech to text and then processes and summarizes the text based on the prompt scenario.,Bicep,5,
aihub,https://github.com/Azure/aihub,AI Hub Executive Demo HandsOn,HTML,37,
agent-python-openai-prompty-langchain,https://github.com/Azure-Samples/agent-python-openai-prompty-langchain,Function calling for vector database lookup based on user question,Bicep,8,
private-openai-with-apim-for-chargeback,https://github.com/Azure-Samples/private-openai-with-apim-for-chargeback,Open AI with Private Endpoints behind APIM and functionality to get tokens consumption for each consumer,Bicep,21,
serverless-chat-langchainjs,https://github.com/Azure-Samples/serverless-chat-langchainjs,"Build your own serverless AI Chat with Retrieval-Augmented-Generation using LangChain.js, TypeScript and Azure",TypeScript,575,
GPT-RAG,https://github.com/Azure/GPT-RAG,"Sharing the learning along the way we been gathering to enable Azure OpenAI at enterprise scale in a secure manner. GPT-RAG core is a Retrieval-Augmented Generation pattern running in Azure, using Azure Cognitive Search for retrieval and Azure OpenAI large language models to power ChatGPT-style and Q&A experiences.",Bicep,784,
azure-sql-db-session-recommender-v2,https://github.com/Azure-Samples/azure-sql-db-session-recommender-v2,"Build a Retrieval Augmented Generation solution using OpenAI, Azure Functions, Azure Static Web Apps, Azure SQL DB, Data API builder and Text Embeddings",Bicep,18,
AzureOpenAILogProbs,https://github.com/bartczernicki/AzureOpenAILogProbs,Examples of how-to use Azure OpenAI Log Probabilities (LogProbs) feature to enhance Generative AI - Q&A grounding.,C#,7,
azureai-assistant-tool,https://github.com/Azure-Samples/azureai-assistant-tool,"The Azure AI Assistant Tool is experimental Python application and middleware designed to simplify the development, experimentation, testing, and debugging of OpenAI assistants.",Python,89,
Build-Modern-AI-Apps,https://github.com/Azure/Build-Modern-AI-Apps,"Microsoft Official Build Modern AI Apps reference solutions and content. Demonstrate how to build Copilot applications that incorporate Hero Azure Services including Azure OpenAI Service, Azure Container Apps (or AKS) and Azure Cosmos DB for NoSQL with Vector Search.",,157,
openai-apim-lb,https://github.com/Azure-Samples/openai-apim-lb,Smart load balancing for OpenAI endpoints and Azure API Management,Bicep,51,
openai-aca-lb,https://github.com/Azure-Samples/openai-aca-lb,Smart load balancing for Azure OpenAI endpoints,Bicep,33,
Microsoft-Semantic-Kernel-Community-dotnet,https://github.com/Azure-AI-Community/Microsoft-Semantic-Kernel-Community-dotnet,,C#,16,
ai-rag-chat-evaluator,https://github.com/Azure-Samples/ai-rag-chat-evaluator,Tools for evaluation of RAG Chat Apps using Azure AI Evaluate SDK and OpenAI ,Python,168,
ai-hub,https://github.com/Azure/ai-hub,"Enterprise Azure OpenAI Hub provides prescriptive architecture and guidance to accelerate Generative AI on Azure for all organisations, in a secure, compliant, scalable, and resillient way, and to democratize proven use-cases to quickly realise business value",HCL,55,
SQL-AI-samples,https://github.com/Azure-Samples/SQL-AI-samples,Samples using AI and Azure SQL DB,HTML,45,
azureai-samples,https://github.com/Azure-Samples/azureai-samples,Official community-driven Azure AI Examples,Jupyter Notebook,210,
